songName,songAlbum,songArtist,songDurationMillis,songPlayCount,songRating,songComposer,songYear
Islands,Young the Giant,Young the Giant,245109,0,0,,2011
Nose Lager,25 House Essentials 2013 Vol 1 WEB,Steve Kid,326000,0,0,,2013
imran khan - bounce billo.mp3,,,244000,0,0,,0
Kingdom,25 House Essentials 2013 Vol 1 WEB,2 Faced Funks,337000,0,0,,2013
Kackvogel,Chilled House Session 2013 ,Solomun,448000,0,0,,2013
Carpe Diem,Uno!,Green Day,205529,0,0,,2012
Your Love,Chilled House Session 2013 ,Totally Enormous Extinct Dinosaurs,230032,0,0,,2013
Fuck Time,Dos!,Green Day,166000,0,0,,2012
I Was Made For Lovin' You,Greatest Rock Songs,Kiss,272000,0,0,,0
Rusty James,Uno!,Green Day,249196,0,0,,2012
Greyhound (Swedish House Mafia),Swedish House Mafia - Until Now,Swedish House Mafia,212000,0,0,,0
Loss of Control,Uno!,Green Day,187844,0,0,,2012
Game of Thrones Season 4 Episode 2 - End Credits - The Rains of Castamere.mp3,,,82000,1,5,,0
Sun,Beacon,Two Door Cinema Club,187740,27,5,,2012
Jigoku Shoujo Noto-Karinui,,,278000,4,5,,0
Ellie Goulding - Hanging On (Sound Remedy Remix) ,Sound Remedy,Sound Remedy,285000,0,0,Sound Remedy,2012
I Can Only Imagine (David Guetta & Daddy's Groove Remix),,David Guetta & Chris Brown Ft Lil Wayne,350807,0,0,(Www.FlowHoT.NeT),0
stuck in my heart,,,227000,0,0,,0
Baby Eyes,Dos!,Green Day,142199,0,0,,2012
UMF (Ultra Music Festival Anthem),Ultra Music Festival 2013,Avicii,276921,0,0,,2013
Lazy Bones,Dos!,Green Day,214459,0,0,,2012
Sound Surgery (AGRMusic),Dubstep Collection from Kulemina,Killbot,287997,0,0,,2012
"Nodame Cantabile Live Action Rachmaninoff's Piano Concerto No. 2, Op. 18 [Chiaki &A Orchestra].mp3",,,291000,4,5,,0
Tourniquet,Fallen,Evanescence,278071,0,0,,2003
My Last Breath,Fallen,Evanescence,247351,0,0,,2003
Padmasana,Electric Tears,Buckethead,700000,0,0,Buckethead,2002
Hello,Fallen,Evanescence,220367,0,0,,2003
Whisper,Fallen,Evanescence,327337,0,0,,2003
"Make It Bun Dem (Skrillex & Damian ""Jr. Gong"" Marley)",Skrillex - Make It Bun Dem After Hours (Remixes),Skrillex,214000,0,0,,0
Sunshine (David Guetta & Avicii),David Guetta — Nothing But The Beat - The Electronic Album,David Guetta,246000,0,0,,0
In For The Kill [Skrillex Remix] (La Roux),Skrillex & La Roux - In For The Kill,Skrillex,305000,0,0,,0
Shelter (The XX Cover) [Clark Kent Remix] (AGRMusic),Dubstep Collection from Kulemina,Birdy,298000,0,0,,2012
Hitman (AGRMusic),Dubstep Collection from Kulemina,Benga,216000,0,0,,2012
Falling,,Drake Bell,252000,0,0,,0
Live at Ultra Music Festival Day 6 (WMC Miami)-23-03-2013,Live at Ultra Music Festival Day 6 (WMC Miami)-23-03,Alesso,2516000,0,0,,2013
Make It Bun Dem (Teddy Killerz Remix) (AGRMusic),Dubstep Collection from Kulemina,"Skrillex, Damian Marley",276000,0,0,,2012
Live at Ultra Music Festival (WMC Miami)-16-03-2013,Live at Ultra Music Festival (WMC Miami)-STR-16-03,Martin Solveig,2534000,0,0,,2013
california,,Hotel,436000,0,0,,0
Intensive Care (Dubstep Mix) (AGRMusic),Dubstep Collection from Kulemina,"The SoniXx, Laura Newman",231000,0,0,,2012
Never Let You Go (AGRMusic),Dubstep Collection from Kulemina,Kredo,251000,0,0,,2012
Live at Ultra Music Festival (Miami)-SAT-03-15-2013,Live at Ultra Music Festival (Miami)-SAT-03-15,Afrojack,2341000,0,0,,2013
Live at Ultra Music Festival (Miami)-SAT-03-16-2013,Live at Ultra Music Festival (Miami)-SAT-03-16,Porter Robinson,3525000,0,0,,2013
The Fusion (Omnia & IRA),Armin van Buuren - A State of Trance 2012,Omnia,230000,0,0,,0
"Little Bad Girl (David Guetta, Ludacris & Taio Cruz)",David Guetta — Nothing But The Beat - The Electronic Album,David Guetta,228000,0,0,,0
"Gulabi Aankhein, Jo Teri Dekhi [Unplugged]",,Atif Aslam,232000,0,0,,0
I've Got Nerve - Hannah Montana.mp3,,Hannah Montana,60000,0,0,,0
Live at Ultra Music Festival (Miami)-SAT-03-17-2013,Live at Ultra Music Festival (Miami)-SAT-03-17,Arty,3345000,0,0,,2013
Strobe (Special Features Remix),Whompingstereo.com,Special Features,368000,0,0,,2011
Channel 42 (Deadmau5 & Wolfgang Gartner),Deadmau5 - > album title goes here <,Deadmau5,240000,0,0,,0
Skyfall (Clark Kent & Oscar Daniel Remix) (AGRMusic),Dubstep Collection from Kulemina,Adele,230000,0,0,,2012
The Alphabeat (Original Mix),wapos.ru,David Guetta (wapos.ru),269000,0,0,,0
Live at Ultra Music Festival (Miami)-SAT-03-16-2013,Live at Ultra Music Festival (Miami)-SAT-03-16,Knife Party,3346000,0,0,,2013
Live at Ultra Music Festival (WMC Miami)-STR-16-03-2013,Live at Ultra Music Festival (WMC Miami)-STR-16-03,Hardwell,3405000,0,0,,2013
Live at Ultra Music Festival (WMC Miami)-17-03-2013,Live at Ultra Music Festival (WMC Miami)-STR-17-03,Steve Aoki,2665000,0,0,,2013
Deadmau5 - 'The Veldt' (Tommy Trash Remix),,Tommy Trash,413000,0,0,,0
The Way She Moves The World (Original Mix) (AGRMusic),Dubstep Collection from Kulemina,The Madison,226000,0,0,,2012
